0,0
0.02,0.005
0.04,0.00304234
0.06,0.00587064
0.08,0.00731511
0.1,0.00902894
0.12,0.0105692
0.14,0.0120545
0.16,0.013453
0.18,0.0147734
0.2,0.0160133
0.22,0.0171733
0.24,0.0182533
0.26,0.0192533
0.28,0.0201733
0.3,0.0210133
0.32,0.0217733
0.34,0.0224533
0.36,0.0230533
0.38,0.0235733
0.4,0.0240133
0.42,0.0243733
0.44,0.0246533
0.46,0.0248533
0.48,0.0249733
0.5,0.0250133
0.52,0.0249733
0.54,0.0248533
0.56,0.0246533
0.58,0.0243733
0.6,0.0240133
0.62,0.0235733
0.64,0.0230533
0.66,0.0224533
0.68,0.0217733
0.7,0.0210133
0.72,0.0201733
0.74,0.0192533
0.76,0.0182533
0.78,0.0171733
0.8,0.0160133
0.82,0.0147734
0.84,0.013453
0.86,0.0120545
0.88,0.0105692
0.9,0.00902894
0.92,0.00731511
0.94,0.00587064
0.96,0.00304234
0.98,0.005
1,0
